,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3131303952,1,2,8,-37.8202035,144.9508832,-37.8158343,145.04645,9025.0,2018-01-18,22:18:33,2605.140000000001,23:01:58,25.4
ID1519026843,0,6,4,-37.773845,144.9836895,-37.8069141,144.99846599999998,6199.0,2018-06-25,04:08:36,1338.300000000001,4:30:54,11.24
ID3236083501,1,9,2,-38.1109156,144.65417250000002,-37.8232412,144.93788759999998,43061.0,2018-02-02,12:22:32,10410.12,15:16:02,55.6
ID5979102483,2,5,3,-37.8164324,144.9284395,-37.8191261,144.98168710000002,6068.0,2018-04-14,16:25:24,1402.9800000000007,16:48:46,141.42
ID1843939740,0,3,6,-37.8226149,145.0072291,-37.7874421,144.9804091,6049.0,2018-04-17,17:49:15,1528.4399999999996,18:14:43,8.84
ID3273473647,1,8,1,-37.8158343,145.04645,-37.80511129999999,144.95781630000002,7971.0,2018-04-05,06:37:25,2296.379999999999,7:15:41,16.4
ID3516516892,1,3,7,-37.8239805,144.98272759999998,-37.8618349,144.90571599999998,8684.0,2018-04-18,16:12:00,2870.34,16:59:50,19.9
ID5938852306,2,4,5,-37.7991393,144.9891178,-37.8075805,144.9324425,6139.0,2018-01-05,03:38:41,1583.52,4:05:04,156.2
ID1825622150,0,2,2,-37.8149372,144.9452921,-37.814470899999996,144.9381655,813.0,2018-02-22,22:12:43,196.62000000000003,22:15:59,10.26
ID1702329937,0,5,6,-37.8122845,144.92321819999998,-37.7907967,144.985865,7537.0,2018-05-22,21:44:51,2076.7200000000007,22:19:27,11.17
ID3494921059,1,7,5,-37.8618349,144.90571599999998,-37.8030387,144.92972690000002,11378.0,2018-04-09,09:21:30,3515.5799999999986,10:20:05,21.51
ID3833568925,1,6,3,-37.7907967,144.985865,-37.8262281,144.9956458,4854.0,2018-01-14,02:46:07,1320.18,3:08:07,23.77
ID3667867775,1,8,7,-37.807202000000004,145.0266373,-37.8618349,144.90571599999998,13986.0,2018-06-05,16:33:59,4298.280000000002,17:45:37,27.59
ID3539414605,1,8,4,-37.8158343,145.04645,-37.816358799999996,145.00578000000002,4111.0,2018-02-15,04:07:24,1332.7200000000005,4:29:36,17.56
ID3266303657,1,1,4,-37.8178098,144.95166609999998,-37.80236970000001,145.00459890000002,5811.0,2018-05-14,22:31:28,1455.2400000000002,22:55:43,20.38
ID3785098641,1,8,4,-37.8158343,145.04645,-37.8054523,145.0005859,4548.0,2018-02-11,10:19:03,1434.9,10:42:57,15.27
