,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID1259580071,0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-04-26,10:07:16,13204.979999999996,13:47:20,26.55
1,ID1963834956,0,2,6,-37.820953,144.9475811,-37.773845,144.9836895,6947.0,2018-02-17,14:01:43,1495.62,14:26:38,15.99
2,ID1960275819,0,7,6,-37.8618349,144.90571599999998,-37.7874421,144.9804091,11630.0,2018-07-05,18:57:54,3678.5399999999986,19:59:12,14.52
3,ID3563571562,1,5,9,-37.8060456,144.93147050000002,-38.1109156,144.65417250000002,43632.0,2018-04-28,18:39:12,10464.3,21:33:36,58.95
4,ID1775862328,0,5,7,-37.7995098,144.93537769999998,-37.8618349,144.90571599999998,12919.0,2018-07-04,18:13:41,4055.340000000001,19:21:16,16.5
5,ID3160176048,1,2,4,-37.8219709,144.95072340000002,-37.8046753,144.99815,5236.0,2018-02-01,20:08:06,1377.9600000000007,20:31:03,17.69
6,ID1361147339,0,5,7,-37.8030387,144.92972690000002,-37.8618349,144.90571599999998,11378.0,2018-07-02,05:11:13,3515.580000000001,6:09:48,10.645
7,ID3519167355,1,7,6,-37.8618349,144.90571599999998,-37.7874421,144.9804091,11630.0,2018-03-12,17:42:08,3678.5399999999986,18:43:26,25.59
8,ID3689886001,1,1,9,-37.8224437,144.9474085,-38.1109156,144.65417250000002,41932.0,2018-07-22,00:48:04,10073.22,3:35:57,62.64
9,ID3264584321,1,9,1,-38.1109156,144.65417250000002,-37.8065523,144.9651534,44106.0,2018-05-04,17:45:58,10661.760000000004,20:43:39,27.34
10,ID3991372456,1,5,8,-37.7996759,144.9274691,-37.807202000000004,145.0266373,9424.0,2018-02-21,06:55:34,2494.0799999999995,7:37:08,15.33
11,ID3831144903,1,5,6,-37.79864570000001,144.9333648,-37.7908183,144.9857929,5869.0,2018-03-15,08:09:20,1528.3799999999994,8:34:48,9.46
12,ID3174908105,1,2,4,-37.814336700000005,144.9359099,-37.801211200000004,144.9928795,6072.0,2018-05-19,13:52:41,1534.0800000000004,14:18:15,9.68
13,ID5325426640,2,1,7,-37.808167100000006,144.95586619999997,-37.8618349,144.90571599999998,9087.0,2018-06-20,07:08:04,3100.98,7:59:44,242.61
14,ID1417897734,0,6,7,-37.7907967,144.985865,-37.8618349,144.90571599999998,11711.0,2018-05-03,06:58:18,3866.9400000000014,8:02:44,5.615
15,ID3214083623,1,3,7,-37.8173539,144.9734986,-37.8618349,144.90571599999998,8171.0,2018-03-13,17:14:37,2788.56,18:01:05,10.54
16,ID1356423473,0,5,1,-37.8030876,144.9296926,-37.820705100000005,144.94854469999999,2864.0,2018-07-28,16:21:49,702.7799999999997,16:33:31,15.07
17,ID3546349084,1,2,6,-37.820303100000004,144.94651230000002,-37.7874421,144.9804091,5627.0,2018-03-22,03:58:34,1404.7200000000007,4:21:58,21.44
18,ID5770908362,2,4,9,-37.8113945,144.9958138,-38.1109156,144.65417250000002,46444.0,2018-07-23,14:23:12,11135.759999999998,17:28:47,855.02
19,ID1912343313,0,8,1,-37.807202000000004,145.0266373,-37.8065136,144.9440952,7976.0,2018-02-21,08:51:57,2043.9,9:26:00,3.925
20,ID5606378739,2,5,6,-37.807269,144.93917340000002,-37.7908183,144.9857929,6272.0,2018-07-26,06:27:52,1540.5,6:53:32,64.45
21,ID3604028165,1,3,7,-37.820483200000005,144.97715269999998,-37.8618349,144.90571599999998,8730.0,2018-05-11,05:33:02,2922.0,6:21:44,29.04
22,ID1406220858,0,7,5,-37.8618349,144.90571599999998,-37.8086589,144.9259279,11443.0,2018-05-07,14:12:06,3707.3399999999983,15:13:53,15.59
23,ID1996960208,0,2,9,-37.8213625,144.94906569999998,-38.1109156,144.65417250000002,42052.0,2018-05-14,17:49:41,10103.28,20:38:04,26.48
24,ID5254264124,2,5,2,-37.8096741,144.9365179,-37.814529,144.94575940000001,1085.0,2018-02-13,22:13:40,279.36,22:18:19,51.6
25,ID3720604513,1,3,1,-37.814063,145.00001890000001,-37.801292700000005,144.9629735,4326.0,2018-03-07,05:33:53,1039.4399999999996,5:51:12,19.71
26,ID3317959127,1,9,8,-38.1109156,144.65417250000002,-37.807202000000004,145.0266373,49777.0,2018-03-17,23:49:56,12099.660000000005,3:11:35,71.62
27,ID1324684374,0,5,8,-37.807935799999996,144.9210938,-37.807202000000004,145.0266373,10160.0,2018-03-12,14:58:34,2642.82,15:42:36,13.56
28,ID3602823825,1,5,6,-37.8132321,144.9313859,-37.773845,144.9836895,8260.0,2018-07-09,02:55:16,1866.240000000001,3:26:22,22.09
29,ID3991809697,1,4,1,-37.810266399999996,144.9977363,-37.805401,144.97370769999998,2426.0,2018-01-24,17:11:04,614.94,17:21:18,12.69
30,ID3448687026,1,5,2,-37.8152489,144.92772730000002,-37.814293799999994,144.9389889,2097.0,2018-04-18,18:31:58,537.6,18:40:55,12.59
31,ID5941509501,2,6,2,-37.7874421,144.9804091,-37.8219919,144.9497507,5506.0,2018-06-06,11:27:52,1364.2799999999995,11:50:36,113.29
32,ID3397652914,1,4,8,-37.803419,144.9914904,-37.8158343,145.04645,5505.0,2018-04-01,07:29:42,1737.72,7:58:39,6.98
33,ID3414329691,1,9,2,-38.1109156,144.65417250000002,-37.8216085,144.933785,43423.0,2018-05-21,18:49:00,10470.419999999991,21:43:30,54.75
34,ID3879981565,1,3,1,-37.8261097,144.98479719999997,-37.8141989,144.9655156,2672.0,2018-05-17,04:53:22,674.2799999999999,5:04:36,9.955
35,ID1920438723,0,4,3,-37.8101799,144.99712759999997,-37.8231665,144.97614109999998,3064.0,2018-06-02,14:37:01,706.2599999999996,14:48:47,14.11
36,ID1205402758,0,2,3,-37.820608,144.9485919,-37.8245184,144.9829143,3660.0,2018-01-22,18:21:43,931.32,18:37:14,8.09
37,ID3245048332,1,9,5,-38.1109156,144.65417250000002,-37.8064761,144.93221709999997,43547.0,2018-01-06,08:50:16,10429.619999999994,11:44:05,53.32
38,ID1241721779,0,4,2,-37.8104815,145.015893,-37.8170882,144.932764,8313.0,2018-02-04,16:50:49,2087.52,17:25:36,18.12
39,ID1214204849,0,5,1,-37.806212,144.9353959,-37.8162415,144.9639456,3215.0,2018-05-14,00:05:20,849.3000000000003,0:19:29,14.77
40,ID1342985956,0,8,9,-37.8158343,145.04645,-38.1109156,144.65417250000002,51032.0,2018-04-15,05:11:18,12681.059999999998,8:42:39,40.96
41,ID3900838045,1,1,3,-37.819759000000005,144.9522082,-37.8176985,144.9692462,1959.0,2018-04-25,17:26:46,481.38000000000017,17:34:47,12.02
42,ID1870301854,0,4,5,-37.81532,145.0075602,-37.8044722,144.92560830000002,7917.0,2018-04-19,20:45:34,2038.6800000000005,21:19:32,12.41
43,ID5556286564,2,1,5,-37.8186212,144.9653171,-37.80555,144.9353969,3541.0,2018-02-27,22:37:58,900.78,22:52:58,98.05
44,ID1302332740,0,7,8,-37.8618349,144.90571599999998,-37.807202000000004,145.0266373,13986.0,2018-05-26,09:36:18,4292.399999999998,10:47:50,16.17
45,ID3456755286,1,7,1,-37.8618349,144.90571599999998,-37.8098683,144.9666843,8762.0,2018-07-26,19:49:24,2985.719999999999,20:39:09,24.83
46,ID3884663580,1,8,5,-37.807202000000004,145.0266373,-37.804394099999996,144.92924519999997,9336.0,2018-05-08,08:17:28,2425.3199999999993,8:57:53,16.29
47,ID1191960883,0,1,2,-37.8012995,144.9458316,-37.8116006,144.9274278,2460.0,2018-04-25,06:58:06,611.52,7:08:17,4.39
